,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.3702,0.6298,0.0
1,EASE,ItemKNN,0.755,0.245,0.0
2,EASE,SLIM,0.7683,0.2317,0.0
3,EASE,LightGCN,0.588,0.412,0.0
4,EASE,LightGCL,0.3707,0.6293,0.0
5,EASE,ALS,0.745,0.255,0.0
6,EASE,BPR,0.7429,0.2571,0.0
7,EASE,LightFM,0.6543,0.3457,0.0
8,EASE,MostPop,0.972,0.028,0.0
9,EASE,Random,1.0,0.0,0.0
10,MultiVAE,ItemKNN,0.5336,0.4664,0.0
11,MultiVAE,SLIM,0.4848,0.5152,0.0
12,MultiVAE,LightGCN,0.4342,0.5658,0.0
13,MultiVAE,LightGCL,0.4065,0.5935,0.0
14,MultiVAE,ALS,0.5192,0.4808,0.0
15,MultiVAE,BPR,0.6658,0.3342,0.0
16,MultiVAE,LightFM,0.5573,0.4427,0.0
17,MultiVAE,MostPop,0.9308,0.0692,0.0
18,MultiVAE,Random,1.0,0.0,0.0
19,ItemKNN,SLIM,0.4343,0.5657,0.0
20,ItemKNN,LightGCN,0.3068,0.6932,0.0
21,ItemKNN,LightGCL,0.3039,0.6961,0.0
22,ItemKNN,ALS,0.1809,0.8191,0.0
23,ItemKNN,BPR,0.6907,0.3093,0.0
24,ItemKNN,LightFM,0.125,0.875,0.0
25,ItemKNN,MostPop,0.8584,0.1416,0.0
26,ItemKNN,Random,1.0,0.0,0.0
27,SLIM,LightGCN,0.2554,0.7446,0.0
28,SLIM,LightGCL,0.2789,0.7211,0.0
29,SLIM,ALS,0.6665,0.3335,0.0
30,SLIM,BPR,0.7941,0.2059,0.0
31,SLIM,LightFM,0.4077,0.5923,0.0
32,SLIM,MostPop,0.9176,0.0824,0.0
33,SLIM,Random,1.0,0.0,0.0
34,LightGCN,LightGCL,0.5471,0.4529,0.0
35,LightGCN,ALS,0.6848,0.3152,0.0
36,LightGCN,BPR,0.6689,0.3311,0.0
37,LightGCN,LightFM,0.6521,0.3479,0.0
38,LightGCN,MostPop,0.9643,0.0357,0.0
39,LightGCN,Random,1.0,0.0,0.0
40,LightGCL,ALS,0.6256,0.3744,0.0
41,LightGCL,BPR,0.7475,0.2525,0.0
42,LightGCL,LightFM,0.6077,0.3923,0.0
43,LightGCL,MostPop,0.9855,0.0145,0.0
44,LightGCL,Random,1.0,0.0,0.0
45,ALS,BPR,0.9848,0.0152,0.0
46,ALS,LightFM,0.5407,0.4593,0.0
47,ALS,MostPop,0.8813,0.1187,0.0
48,ALS,Random,1.0,0.0,0.0
49,BPR,LightFM,0.0167,0.9833,0.0
50,BPR,MostPop,0.8803,0.1197,0.0
51,BPR,Random,1.0,0.0,0.0
52,LightFM,MostPop,0.8936,0.1064,0.0
53,LightFM,Random,1.0,0.0,0.0
54,MostPop,Random,1.0,0.0,0.0
