,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.5779,0.4221,0.0
1,EASE,ItemKNN,0.6802,0.3198,0.0
2,EASE,SLIM,0.762,0.238,0.0
3,EASE,LightGCN,0.6237,0.3763,0.0
4,EASE,LightGCL,0.3626,0.6374,0.0
5,EASE,ALS,0.797,0.203,0.0
6,EASE,BPR,0.8197,0.1803,0.0
7,EASE,LightFM,0.7304,0.2696,0.0
8,EASE,MostPop,0.9588,0.0412,0.0
9,EASE,Random,0.9999,0.0001,0.0
10,MultiVAE,ItemKNN,0.5266,0.4734,0.0
11,MultiVAE,SLIM,0.4861,0.5139,0.0
12,MultiVAE,LightGCN,0.4891,0.5109,0.0
13,MultiVAE,LightGCL,0.4822,0.5178,0.0
14,MultiVAE,ALS,0.4576,0.5424,0.0
15,MultiVAE,BPR,0.6683,0.3317,0.0
16,MultiVAE,LightFM,0.472,0.528,0.0
17,MultiVAE,MostPop,0.9183,0.0817,0.0
18,MultiVAE,Random,1.0,0.0,0.0
19,ItemKNN,SLIM,0.4862,0.5138,0.0
20,ItemKNN,LightGCN,0.3484,0.6516,0.0
21,ItemKNN,LightGCL,0.3278,0.6722,0.0
22,ItemKNN,ALS,0.1988,0.8012,0.0
23,ItemKNN,BPR,0.6699,0.3301,0.0
24,ItemKNN,LightFM,0.1385,0.8615,0.0
25,ItemKNN,MostPop,0.8343,0.1657,0.0
26,ItemKNN,Random,1.0,0.0,0.0
27,SLIM,LightGCN,0.3192,0.6808,0.0
28,SLIM,LightGCL,0.318,0.682,0.0
29,SLIM,ALS,0.6637,0.3363,0.0
30,SLIM,BPR,0.7381,0.2619,0.0
31,SLIM,LightFM,0.4303,0.5697,0.0
32,SLIM,MostPop,0.9404,0.0596,0.0
33,SLIM,Random,1.0,0.0,0.0
34,LightGCN,LightGCL,0.5947,0.4053,0.0
35,LightGCN,ALS,0.6315,0.3685,0.0
36,LightGCN,BPR,0.6413,0.3587,0.0
37,LightGCN,LightFM,0.612,0.388,0.0
38,LightGCN,MostPop,0.9338,0.0662,0.0
39,LightGCN,Random,1.0,0.0,0.0
40,LightGCL,ALS,0.6113,0.3887,0.0
41,LightGCL,BPR,0.7379,0.2621,0.0
42,LightGCL,LightFM,0.5716,0.4284,0.0
43,LightGCL,MostPop,0.9733,0.0267,0.0
44,LightGCL,Random,1.0,0.0,0.0
45,ALS,BPR,0.9724,0.0276,0.0
46,ALS,LightFM,0.5452,0.4548,0.0
47,ALS,MostPop,0.9102,0.0898,0.0
48,ALS,Random,1.0,0.0,0.0
49,BPR,LightFM,0.0455,0.9545,0.0
50,BPR,MostPop,0.8738,0.1262,0.0
51,BPR,Random,1.0,0.0,0.0
52,LightFM,MostPop,0.9126,0.0874,0.0
53,LightFM,Random,1.0,0.0,0.0
54,MostPop,Random,1.0,0.0,0.0
