,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.1359,0.8641,0.0
1,EASE,ItemKNN,0.0027,0.9973,0.0
2,EASE,SLIM,0.9943,0.0057,0.0
3,EASE,LightGCN,0.0018,0.9982,0.0
4,EASE,LightGCL,0.1653,0.8347,0.0
5,EASE,ALS,0.9998,0.0002,0.0
6,EASE,BPR,0.9909,0.0091,0.0
7,EASE,LightFM,1.0,0.0,0.0
8,EASE,MostPop,1.0,0.0,0.0
9,EASE,Random,0.0,1.0,0.0
10,MultiVAE,ItemKNN,0.008,0.992,0.0
11,MultiVAE,SLIM,0.9985,0.0015,0.0
12,MultiVAE,LightGCN,0.0418,0.9582,0.0
13,MultiVAE,LightGCL,0.2763,0.7237,0.0
14,MultiVAE,ALS,1.0,0.0,0.0
15,MultiVAE,BPR,0.9976,0.0024,0.0
16,MultiVAE,LightFM,1.0,0.0,0.0
17,MultiVAE,MostPop,1.0,0.0,0.0
18,MultiVAE,Random,0.0,1.0,0.0
19,ItemKNN,SLIM,1.0,0.0,0.0
20,ItemKNN,LightGCN,0.6637,0.3363,0.0
21,ItemKNN,LightGCL,0.9666,0.0334,0.0
22,ItemKNN,ALS,1.0,0.0,0.0
23,ItemKNN,BPR,1.0,0.0,0.0
24,ItemKNN,LightFM,1.0,0.0,0.0
25,ItemKNN,MostPop,1.0,0.0,0.0
26,ItemKNN,Random,0.0,1.0,0.0
27,SLIM,LightGCN,0.0,1.0,0.0
28,SLIM,LightGCL,0.0017,0.9983,0.0
29,SLIM,ALS,0.8203,0.1797,0.0
30,SLIM,BPR,0.1622,0.8378,0.0
31,SLIM,LightFM,0.9881,0.0119,0.0
32,SLIM,MostPop,1.0,0.0,0.0
33,SLIM,Random,0.0,1.0,0.0
34,LightGCN,LightGCL,0.9153,0.0847,0.0
35,LightGCN,ALS,1.0,0.0,0.0
36,LightGCN,BPR,1.0,0.0,0.0
37,LightGCN,LightFM,1.0,0.0,0.0
38,LightGCN,MostPop,1.0,0.0,0.0
39,LightGCN,Random,0.0,1.0,0.0
40,LightGCL,ALS,1.0,0.0,0.0
41,LightGCL,BPR,0.9978,0.0022,0.0
42,LightGCL,LightFM,1.0,0.0,0.0
43,LightGCL,MostPop,1.0,0.0,0.0
44,LightGCL,Random,0.0,1.0,0.0
45,ALS,BPR,0.0,1.0,0.0
46,ALS,LightFM,0.994,0.006,0.0
47,ALS,MostPop,0.9998,0.0002,0.0
48,ALS,Random,0.0,1.0,0.0
49,BPR,LightFM,1.0,0.0,0.0
50,BPR,MostPop,1.0,0.0,0.0
51,BPR,Random,0.0,1.0,0.0
52,LightFM,MostPop,0.9995,0.0005,0.0
53,LightFM,Random,0.0,1.0,0.0
54,MostPop,Random,0.0,1.0,0.0
