,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.4942,0.5058,0.0
1,EASE,ItemKNN,0.7212,0.2788,0.0
2,EASE,SLIM,0.7352,0.2648,0.0
3,EASE,LightGCN,0.5778,0.4222,0.0
4,EASE,LightGCL,0.3509,0.6491,0.0
5,EASE,ALS,0.6685,0.3315,0.0
6,EASE,BPR,0.7276,0.2724,0.0
7,EASE,LightFM,0.6648,0.3352,0.0
8,EASE,MostPop,0.9283,0.0717,0.0
9,EASE,Random,1.0,0.0,0.0
10,MultiVAE,ItemKNN,0.682,0.318,0.0
11,MultiVAE,SLIM,0.5037,0.4963,0.0
12,MultiVAE,LightGCN,0.4577,0.5423,0.0
13,MultiVAE,LightGCL,0.4591,0.5409,0.0
14,MultiVAE,ALS,0.4719,0.5281,0.0
15,MultiVAE,BPR,0.5335,0.4665,0.0
16,MultiVAE,LightFM,0.5598,0.4402,0.0
17,MultiVAE,MostPop,0.8423,0.1577,0.0
18,MultiVAE,Random,1.0,0.0,0.0
19,ItemKNN,SLIM,0.4187,0.5813,0.0
20,ItemKNN,LightGCN,0.3168,0.6832,0.0
21,ItemKNN,LightGCL,0.2673,0.7327,0.0
22,ItemKNN,ALS,0.1152,0.8848,0.0
23,ItemKNN,BPR,0.6269,0.3731,0.0
24,ItemKNN,LightFM,0.1027,0.8973,0.0
25,ItemKNN,MostPop,0.7002,0.2998,0.0
26,ItemKNN,Random,0.9999,0.0001,0.0
27,SLIM,LightGCN,0.3876,0.6124,0.0
28,SLIM,LightGCL,0.3291,0.6709,0.0
29,SLIM,ALS,0.6291,0.3709,0.0
30,SLIM,BPR,0.7182,0.2818,0.0
31,SLIM,LightFM,0.5697,0.4303,0.0
32,SLIM,MostPop,0.887,0.113,0.0
33,SLIM,Random,1.0,0.0,0.0
34,LightGCN,LightGCL,0.5125,0.4875,0.0
35,LightGCN,ALS,0.6142,0.3858,0.0
36,LightGCN,BPR,0.6967,0.3033,0.0
37,LightGCN,LightFM,0.6047,0.3953,0.0
38,LightGCN,MostPop,0.9119,0.0881,0.0
39,LightGCN,Random,0.9999,0.0001,0.0
40,LightGCL,ALS,0.6497,0.3503,0.0
41,LightGCL,BPR,0.7612,0.2388,0.0
42,LightGCL,LightFM,0.6392,0.3608,0.0
43,LightGCL,MostPop,0.9122,0.0878,0.0
44,LightGCL,Random,1.0,0.0,0.0
45,ALS,BPR,0.9879,0.0121,0.0
46,ALS,LightFM,0.8373,0.1627,0.0
47,ALS,MostPop,0.808,0.192,0.0
48,ALS,Random,1.0,0.0,0.0
49,BPR,LightFM,0.0219,0.9781,0.0
50,BPR,MostPop,0.7476,0.2524,0.0
51,BPR,Random,1.0,0.0,0.0
52,LightFM,MostPop,0.8198,0.1802,0.0
53,LightFM,Random,1.0,0.0,0.0
54,MostPop,Random,0.9999,0.0001,0.0
